# emoji-candidate-symbols.txt
# Date: 2016-08-27
#
# Filter:
# General Category = Other_Symbol (So), 
# Bidirectional Category = Other_Neutral (ON),
# Script = Common,
# Emoji = No
#
# 1989 code points as of Unicode 9.0 and Emoji 4.0
#
# Format: 
# codepoint ; property(=Yes) # comments 
#
# Characters and sequences are listed in code point order.
# Users should be shown a more natural order.
#
 00A6 ; ideograph # ¦
 2100 ; letter-like # ℀
 2101 ; letter-like # ℁
 2103 ; letter-like # ℃
 2104 ; letter-like # ℄
 2105 ; letter-like # ℅
 2106 ; letter-like # ℆
 2108 ; letter-like # ℈
 2109 ; letter-like # ℉
 2114 ; letter-like # ℔
 2116 ; letter-like # №
 2117 ; letter-like # ℗
 211E ; letter-like # ℞
 211F ; letter-like # ℟
 2120 ; letter-like # ℠
 2121 ; letter-like # ℡
 2123 ; letter-like # ℣
 2125 ; letter-like # ℥
 2127 ; letter-like # ℧
 2129 ; letter-like # ℩
 213A ; letter-like # ℺
 213B ; letter-like # ℻
 214A ; letter-like # ⅊
 214C ; letter-like # ⅌
 214D ; letter-like # ⅍
 218A ; letter-like # ↊
 218B ; letter-like # ↋
 219C ; ideograph # ↜
 219D ; ideograph # ↝
 219E ; ideograph # ↞
 219F ; ideograph # ↟
 21A1 ; ideograph # ↡
 21A2 ; ideograph # ↢
 21A4 ; ideograph # ↤
 21A5 ; ideograph # ↥
 21A7 ; ideograph # ↧
 21A8 ; ideograph # ↨
 21AB ; ideograph # ↫
 21AC ; ideograph # ↬
 21AD ; ideograph # ↭
 21AF ; ideograph # ↯
 21B0 ; ideograph # ↰
 21B1 ; ideograph # ↱
 21B2 ; ideograph # ↲
 21B3 ; ideograph # ↳
 21B4 ; ideograph # ↴
 21B5 ; ideograph # ↵
 21B6 ; ideograph # ↶
 21B7 ; ideograph # ↷
 21B8 ; ideograph # ↸
 21B9 ; ideograph # ↹
 21BA ; ideograph # ↺
 21BB ; ideograph # ↻
 21BC ; ideograph # ↼
 21BD ; ideograph # ↽
 21BE ; ideograph # ↾
 21BF ; ideograph # ↿
 21C0 ; ideograph # ⇀
 21C1 ; ideograph # ⇁
 21C2 ; ideograph # ⇂
 21C3 ; ideograph # ⇃
 21C4 ; ideograph # ⇄
 21C5 ; ideograph # ⇅
 21C6 ; ideograph # ⇆
 21C7 ; ideograph # ⇇
 21C8 ; ideograph # ⇈
 21C9 ; ideograph # ⇉
 21CA ; ideograph # ⇊
 21CB ; ideograph # ⇋
 21CC ; ideograph # ⇌
 21CD ; ideograph # ⇍
 21D0 ; ideograph # ⇐
 21D1 ; ideograph # ⇑
 21D3 ; ideograph # ⇓
 21D5 ; ideograph # ⇕
 21D6 ; ideograph # ⇖
 21D7 ; ideograph # ⇗
 21D8 ; ideograph # ⇘
 21D9 ; ideograph # ⇙
 21DA ; ideograph # ⇚
 21DB ; ideograph # ⇛
 21DC ; ideograph # ⇜
 21DD ; ideograph # ⇝
 21DE ; ideograph # ⇞
 21DF ; ideograph # ⇟
 21E0 ; ideograph # ⇠
 21E1 ; ideograph # ⇡
 21E2 ; ideograph # ⇢
 21E3 ; ideograph # ⇣
 21E4 ; ideograph # ⇤
 21E5 ; ideograph # ⇥
 21E6 ; ideograph # ⇦
 21E7 ; ideograph # ⇧
 21E8 ; ideograph # ⇨
 21E9 ; ideograph # ⇩
 21EA ; ideograph # ⇪
 21EB ; ideograph # ⇫
 21EC ; ideograph # ⇬
 21ED ; ideograph # ⇭
 21EE ; ideograph # ⇮
 21EF ; ideograph # ⇯
 21F0 ; ideograph # ⇰
 21F1 ; ideograph # ⇱
 21F2 ; ideograph # ⇲
 21F3 ; ideograph # ⇳
 2300 ; ideograph # ⌀
 2301 ; ideograph # ⌁
 2302 ; ideograph # ⌂
 2303 ; ideograph # ⌃
 2304 ; ideograph # ⌄
 2305 ; ideograph # ⌅
 2306 ; ideograph # ⌆
 2307 ; ideograph # ⌇
 230C ; ideograph # ⌌
 230D ; ideograph # ⌍
 230E ; ideograph # ⌎
 230F ; ideograph # ⌏
