Emoji	Class	Subclass	Name	Description
⬆️	core	arrow	up	Arrow symbol to up
⬇️	core	arrow	down	Arrow symbol to down
➡️	core	arrow	right	Arrow symbol to right
⬅️	core	arrow	left	Arrow symbol to left
↗️	core	arrow	upperRight	Arrow symbol to upper right
↖️	core	arrow	upperLeft	Arrow symbol to upper left
↘️	core	arrow	lowerRight	Arrow symbol to lower right
↙️	core	arrow	lowerLeft	Arrow symbol to lower left
👆	core	arrow	fingerUp	Pointing finger, up
👇	core	arrow	fingerDown	Pointing finger, down
👉	core	arrow	fingerRight	Pointing finger, right
👈	core	arrow	fingerLeft	Pointing finger, left
1️⃣	core	button	1	Button symbol labelled to number one
2️⃣	core	button	2	Button symbol labelled to number two
3️⃣	core	button	3	Button symbol labelled to number three
4️⃣	core	button	4	Button symbol labelled to number four
5️⃣	core	button	5	Button symbol labelled to number five
6️⃣	core	button	6	Button symbol labelled to number six
7️⃣	core	button	7	Button symbol labelled to number seven
8️⃣	core	button	8	Button symbol labelled to number eight
9️⃣	core	button	9	Button symbol labelled to number nine
0️⃣	core	button	0	Button symbol labelled to number zero
📞📲	core	action	makePhoneCall	Off-hook sign
🔎🔍	core	action	find	A sign indicating “look-up”
🔏	core	action	userAuthentication	A sign indicating “authentication request”
🔒	core	action	password	A sign indicating “password input”
⏭	core	action	nextItem	A sign indicating “the next item exists and/or a link to it”
🆑	core	action	clear	A sign indicating “clean up”
⏹	core	action	stop	“Stop” sign
🔝🔼	core	action	top	A link sign to the home page
🔜▶️⏩	core	action	next	A link sign to the next page or card
🔙◀️⏪	core	action	back	A link sign to the previous page or card
📩	core	message	receive	A symbol indicating an action to retrieve a message
📨	core	message	send	A symbol indicating an action to send a message
✉️📧	core	message	message	a symbol for mail/envelope
📄	core	message	document	a symbol for a document
📎	core	message	attachment	a symbol for an attachment/paper clip
📁	core	message	folder	a symbol for folder
📥	core	message	inbox	a symbol for inbox
📤	core	message	outbox	a symbol for outbox
🔐	core	state	secure	A sign indicating secured properly
🔓	core	state	insecure	A sign indicating unsecured
©️	core	state	copyright	A copyright symbol
™️	core	state	trademark	A trademark symbol
🚧🏗	core	state	underConstruction	A sign indicating “under construction” status
🔰	core	state	beginner	A sign indicating aimed for a beginner
📖📕	core	media	book	A symbol for a book
📼	core	media	video	A symbol for a video
💿	core	media	cd	A symbol for a compact disc
📀	core	media	dvd	A symbol for a DVD
🎮	core	media	game	A symbol for a game
📻	core	media	radio	A symbol for a radio tuner
📺	core	media	tv	A symbol for a TV set
📝🗒	core	info	notice	A notice sign
💴💵💷💶🈛	core	info	charged	A sign of charged content
➰➿🆓🈚	core	info	freeofcharge	A sign of free-of-charge content
🆕	core	info	new	A symbol showing brand new
📡🛰	core	info	position	A sign indicating positioning information
🆓	core	info	tollfree	A sign for toll-free call
#️⃣	core	info	sharpdial	A sign for sharp-dial
💺	core	info	reserved	A sign for seat reservation (e.g. concert)
🗣💬	core	info	speechinfo	A sign indicating spoken guidance or information exist
🐙	animal		octopus	octopus
🐒🐵	animal		monkey	monkey
🐖🐷	animal		pig	pig
🐈🐱	animal		cat	cat
🐕🐶	animal		dog	dog
🐻	animal		bear	bear
🐳🐋	animal		whale	whale
🐧	animal		penguin	penguin
🐅🐯	animal		tiger	tiger
🐇🐰	animal		rabbit	rabbit
🐀🐭	animal		rat	rat
🐞	animal		ladybird	ladybird (ladybug)
	animal		beetle	beetle
🐟	animal		fish	fish
📟	appliance		pager	a symbol of pager
📶📡	appliance		antenna	a symbol of antenna
📷	appliance		camera	a symbol of camera
☎️	appliance		phone	a symbol of phone
📱	appliance		mobilePhone	a symbol of mobile phone
📠	appliance		fax	a symbol of facsimile machine
🖥💻	appliance		pc	a symbol of personal computer
☀️🌞	astronomy		sun	Sun
🌙🌕🌜…	astronomy		moon	Moon
🌎🌍🌏	astronomy		earth	Earth
⭐️	astronomy		star	a symbol of star
🐀🐭	chineseZodiac		rat	a sign of the Rat in Chinese zodiac
🐂🐮	chineseZodiac		ox	a sign of the Ox in Chinese zodiac
🐅🐯	chineseZodiac		tiger	a sign of the Tiger in Chinese zodiac
🐇🐰	chineseZodiac		rabbit	a sign of the Rabbit in Chinese zodiac
🐉🐲	chineseZodiac		dragon	a sign of the Dragon in Chinese zodiac
