ID	Name	Codepoint
0001	BLACK SUN WITH RAYS	U+2600
0002	CLOUD	U+2601
0003	UMBRELLA WITH RAIN DROPS	U+2614
0004	SNOWMAN WITHOUT SNOW	U+26C4
0005	HIGH VOLTAGE SIGN	U+26A1
0006	CYCLONE	U+1F300
0007	FOGGY	U+1F301
0008	CLOSED UMBRELLA	U+1F302
0009	NIGHT WITH STARS	U+1F303
0010	SUNRISE OVER MOUNTAINS	U+1F304
0011	SUNRISE	U+1F305
0012	CITYSCAPE AT DUSK	U+1F306
0013	SUNSET OVER BUILDINGS	U+1F307
0014	RAINBOW	U+1F308
0015	SNOWFLAKE	U+2744
0016	SUN BEHIND CLOUD	U+26C5
0017	BRIDGE AT NIGHT	U+1F309
0018	NEW MOON SYMBOL	U+1F311
0019	WAXING GIBBOUS MOON SYMBOL	U+1F314
0020	FIRST QUARTER MOON SYMBOL	U+1F313
0021	CRESCENT MOON	U+1F319
0022	FULL MOON SYMBOL	U+1F315
0023	FIRST QUARTER MOON WITH FACE	U+1F31B
0024	MOON VIEWING CEREMONY	U+1F391
0025	SOON WITH RIGHTWARDS ARROW ABOVE	U+1F51C
0026	ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW	U+1F51B
0027	END WITH LEFTWARDS ARROW ABOVE	U+1F51A
0028	HOURGLASS WITH FLOWING SAND	U+23F3
0029	HOURGLASS	U+231B
0030	WATCH	U+231A
0031	CLOCK FACE ONE OCLOCK	U+1F550
0032	CLOCK FACE TWO OCLOCK	U+1F551
0033	CLOCK FACE THREE OCLOCK	U+1F552
0034	CLOCK FACE FOUR OCLOCK	U+1F553
0035	CLOCK FACE FIVE OCLOCK	U+1F554
0036	CLOCK FACE SIX OCLOCK	U+1F555
0037	CLOCK FACE SEVEN OCLOCK	U+1F556
0038	CLOCK FACE EIGHT OCLOCK	U+1F557
0039	CLOCK FACE NINE OCLOCK	U+1F558
0040	CLOCK FACE TEN OCLOCK	U+1F559
0041	CLOCK FACE ELEVEN OCLOCK	U+1F55A
0042	CLOCK FACE TWELVE OCLOCK	U+1F55B
0043	ALARM CLOCK	U+23F0
0044	ARIES	U+2648
0045	TAURUS	U+2649
0046	GEMINI	U+264A
0047	CANCER	U+264B
0048	LEO	U+264C
0049	VIRGO	U+264D
0050	LIBRA	U+264E
0051	SCORPIUS	U+264F
0052	SAGITTARIUS	U+2650
0053	CAPRICORN	U+2651
0054	AQUARIUS	U+2652
0055	PISCES	U+2653
0056	OPHIUCHUS	U+26CE
0057	WATER WAVE	U+1F30A
