Emoticon	Count	emoji-data	Apple	Google	Facebook	Messenger	Emojione	Twitch	Skype	Yahoo	Microsoft	AOL	ICQ	IBM/Lotus	Cisco
;)	14														
:*	14								   	?	 	 	 		
;*	13														
:(	13										 	 	 		 
:)	13									  	 	 	 		 
*-)	13								  		      	  	  	  	
*)	13								  		 ( )	  	  	  	
:-(	12										 	 	 	   	 
:-)	12										 	 	 		 
:-*	12								   	   		   	   		
:-d	12								 		 	 	 	 	
:-D	12								 		 	 	 	 	
;-)	11														
;-*	11														
:-o	11								 	 	  				  
:-O	11								 	 	  				  
:-p	11										 				
:-P	11										 				
:d	11							 	 	 	 				
:D	11							 	 	 	 				
:'(	10										 	 	 		
:o	10							 	 		  				  
:O	10							 	 		  				  
:P	10									 (  )	 				
:p	10									 (  )	 				
:-/	9													 	 
:|	9								 	 	   				 
<3	9														
:-\	8										  				 
:/	8														 
o:-)	8											 ()	 ()		
O:-)	8											 ()	 ()		
:-|	7								 		   				 
:-s	7								 		  				0
:-S	7								 		  				0
:\	7														 
8-)	7														
B-)	7									 ()					
o:)	7									 					
O:)	7									 					
:-[	6										  	 (  )	 (  )		
:-x	6								 			 ()	 ()		
:-X	6								 			 ()	 ()		
:[	6										  				
(y)	6				0	󰀀								  	
(Y)	6				0	󰀀								  	
=*	6														
>:-(	6														 
>:(	6														 
;p	5														
;P	5														
:>	5									? ?	 				
:s	5										  				0
:S	5										  				0
:x	5								 	 (   )					
:X	5								 	 (   )					
(n)	5													  	
(N)	5													  	
=)	5														
=D	5														 
=p	5														
=P	5														
>:o	5											()	()		
>:O	5											()	()		
B)	5														
-_-	4														
;-p	4														
;-P	4														
:-!	4											()	()		 
:-@	4								    		   			 	
:-#	4								 		 				
:-b	4														
:'-(	4														
:]	4														
:@	4								    		   				
:^*	4								 		?      				
:3	4				0										
^_^	4														 
</3	4														
=(	4														
=/	4														
=\	4														
>.<	4														
0:-)	4														
8-|	4														
D:	4														
d:	4														
D:	4														
:$	3								 		 				
(:	3														
\m/	3														
>_<	3														
>:-o	3														
>:-O	3														
>:)	3									  					
0:)	3														
8)	3														
B-|	3														
o_o	3							 							
O_O	3							 							
T_T	3														
x_x	3									( )					()
X(	3								  	(  )					
:-<	2									(   )					 
:->	2														
:!	2														 
:'-)	2														
:(|)	2														
:#	2								 						
:b	2														
(=	2														
)=	2														
*\O/*	2								  						
\O/	2								 						
&lt;3	2														
#)	2														
^~^	2														
<('')	2														
>:-)	2														
>:/	2									 ()					
>:D<	2														
>:P	2									? 					
3:-)	2														
3:)	2														
8|	2														
B|	2														
o.o	2														
o.O	2														
O.o	2														
O.O	2														
O=)	2														
u_u	2														
X-(	2								  						
-___-	1														
-__-	1														
-<@%	1														
-3-	1														
;_;	1														
;-(	1														
;-]	1														
;-b	1														
;(	1														
;]	1														
;^)	1														
;b	1														
;D	1														
:-,	1														
:-.	1														
:-)X	1														
:-{	1														
:-+	1														
:-I	1														 
:-þ	1														
:-Þ	1														
:,	1														
:''(	1														
:''D	1														
:')	1														
:(:)	1														
:)X	1														
:{	1														
:|]	1														
:C	1														
:L	1														
:o)	1														
:v	1				---										
:V	1				---										
:X)	1														
:þ	1														
:Þ	1														
!:-)	1														
!:)	1														
':-(	1														
':-)	1														
':-D	1														
':(	1														
':)	1														
':D	1														
'=(	1														
'=)	1														
'=D	1														
(]:{	1														
(^^^)	1				---										
(=^..^=)	1														
(=^.^=)	1														
):	1														
}:-)	1														
}:)	1														
}=)	1														
*\0/*	1														
\0/	1														
\o	1														
#-)	1														
%-)	1														
%)	1														
^_^;;	1														
<\3	1														
=-)	1														
='(	1														
=#	1														
=^_^=	1														
=|	1														
=$	1														
=L	1														
=o	1														
=O	1														
=x	1														
=X	1														
>;)	1														
>:(X	1														
>:[	1														
>:\	1														
>=(	1														
>=)	1														
~@~	1														
	1														
0_0	1														
0;-)	1														
0;^)	1														
0:-3	1														
0:3	1														
8-D	1														
B-D	1														
c:	1														
C:	1														
D-:	1														
o_o;	1														
O;-)	1														
O:-3	1														
O:3	1														
o/	1														
T-T	1														
ToT	1														
V.v.V	1														
X-)	1														
X-o	1														
X-O	1														
x-p	1														
X-P	1														
X)	1														
